Shape 1:
239,124
238,125
236,125
233,128
233,129
232,130
232,137
233,138
233,140
232,141
232,143
231,144
231,150
232,151
232,152
233,153
233,154
234,155
236,155
237,156
238,155
239,156
245,156
246,155
249,155
250,154
250,151
251,150
251,142
249,140
249,139
250,138
250,137
251,136
250,135
251,134
250,133
250,129
249,128
249,127
248,126
247,126
246,125
245,125
244,124

Shape 2:
162,111
161,112
155,112
154,113
150,113
149,114
147,114
146,115
145,115
144,116
143,116
142,117
141,117
137,121
137,122
136,123
136,168
135,169
136,170
136,176
137,177
137,178
141,182
142,182
144,184
146,184
147,185
149,185
150,186
153,186
154,187
161,187
162,188
163,187
172,187
173,186
177,186
178,185
179,185
180,184
182,184
183,183
184,183
185,182
186,182
190,178
190,177
191,176
191,175
192,174
192,172
191,171
192,170
191,169
191,165
192,164
191,163
192,162
191,161
191,159
192,158
191,157
191,124
190,123
190,122
189,121
189,120
188,120
187,119
187,118
186,118
184,116
183,116
182,115
181,115
180,114
177,114
176,113
174,113
173,112
172,113
171,112
166,112
165,111
164,112
163,112

Shape 3:
78,111
77,112
75,112
75,115
74,116
74,122
77,122
78,121
85,121
86,122
87,122
88,123
89,123
92,126
92,128
90,130
89,130
88,131
83,131
83,133
82,134
82,141
83,142
87,142
88,143
89,143
92,146
92,147
93,148
93,150
92,151
91,151
90,152
89,152
88,153
83,153
82,152
80,152
79,151
77,151
76,150
75,150
74,149
73,150
73,163
76,163
77,164
85,164
86,165
95,165
96,164
99,164
102,161
102,159
103,158
100,158
99,157
100,156
101,156
100,155
100,154
101,153
101,148
102,147
102,143
101,142
101,139
98,136
98,135
99,134
99,131
100,130
99,129
100,128
100,125
101,124
101,122
100,121
100,119
99,118
99,117
96,114
95,114
94,113
93,113
92,112
89,112
88,111
87,112
86,111

Shape 4:
211,42
210,43
207,43
206,44
205,44
204,45
203,45
202,46
201,46
199,48
199,49
197,51
197,65
198,66
198,67
199,68
199,69
196,72
196,75
195,76
195,77
196,78
196,82
195,83
196,84
195,85
196,86
196,87
197,88
197,89
198,90
198,92
197,93
198,94
197,95
198,94
199,95
200,95
202,97
203,96
209,96
210,97
211,96
212,97
213,96
214,97
215,96
216,97
217,96
221,96
222,95
225,95
226,94
227,94
229,92
228,91
228,89
229,88
229,86
230,85
230,80
229,79
230,78
229,77
229,73
228,72
228,71
227,70
227,67
228,66
228,65
229,64
229,58
228,57
229,56
228,55
228,51
227,50
227,49
223,45
222,45
221,44
220,44
219,43
217,43
216,42
215,43
214,42

Shape 5:
64,24
63,25
58,25
57,26
54,26
53,27
50,27
49,28
48,28
47,29
46,29
45,30
44,30
41,33
41,34
40,35
40,36
39,37
39,43
40,44
40,45
43,48
43,49
44,50
41,53
41,55
42,56
42,57
43,58
40,61
39,61
38,62
38,63
36,65
36,71
37,72
37,73
40,76
40,78
39,79
39,80
38,81
39,80
40,81
40,82
49,82
50,81
55,81
56,80
60,80
61,79
62,79
63,78
65,78
66,77
68,77
70,75
70,72
71,71
71,69
72,68
72,66
71,65
71,64
70,63
70,62
66,58
66,57
65,57
64,56
63,56
62,55
59,55
58,54
60,52
61,52
62,51
63,51
66,48
66,47
67,46
67,45
68,44
68,38
65,35
66,34
69,34
70,33
71,33
72,32
72,29
70,27
70,26
68,24

Shape 6:
122,8
121,9
119,9
118,10
117,10
115,12
114,12
113,13
113,14
112,15
112,16
111,17
111,23
112,24
112,29
113,30
113,31
117,35
118,35
119,36
120,36
121,37
122,37
124,39
125,39
126,40
127,40
128,41
129,41
131,43
132,43
134,45
130,49
129,49
128,50
120,50
119,49
118,49
117,48
116,48
115,47
114,47
112,45
111,45
111,53
112,54
112,56
111,57
112,58
112,60
113,61
133,61
134,60
137,60
139,58
140,58
140,57
141,56
140,56
139,55
140,54
140,53
141,52
141,51
142,50
141,49
142,48
141,47
141,42
140,41
140,38
139,37
139,36
138,35
138,34
137,34
134,31
133,31
132,30
131,30
130,29
129,29
128,28
127,28
126,27
125,27
124,26
123,26
122,25
121,25
119,23
119,21
121,19
123,19
124,18
131,18
132,19
135,19
136,20
137,20
139,22
139,14
138,13
139,12
138,11
138,10
137,10
136,9
134,9
133,8

